id;reg_type;employer_type;type_etablissement;employer_name;hq_id;ninea_number;ninet_number;compagny_origin_id;legal_status;tax_id;tax_id_date;trade_register_number;trade_register_date;date_of_inpsection;date_of_firt_hire;short_name;business_sector;main_line_of_business;no_of_workers_in_gen_scheme;no_of_workers_in_basic_scheme;region;department;arondissement;commune;qartier;address;postbox_no;telephone;email;website;zone_css;zone_ipres;sector_css;sector_ipres;agency_css;agency_ipres;employer_registration_form_id;employee_registration_form_id;process_flow_id;statut_dossier;statut_immatriculation
1;Village Assistant Advanced;Mouse Personal Loan Account;silver;architectures;bandwidth-monitored;Human sky blue;mint green;Auto Loan Account Jewelery olive;Tunnel e-tailers;Technician Lesotho;2020-02-14;Illinois Gloves;2020-02-13;2020-02-14;2020-02-14;Metal Baby magenta;deposit;fuchsia Salad;40904;67678;Handcrafted;generate program;transmitting Investment Account Alaska;Buckinghamshire grey;United States Minor Outlying Islands Wooden Product;generate;virtual;1-221-028-0122;Baron_Cartwright99@hotmail.com;red;Tools Kansas;flexibility GB;Steel;convergence;Wooden;budgetary management Cotton Consultant;Brunei Dollar program regional;AI;invoice Sleek Cotton Towels Borders;Rubber Denar;false
2;Music;Money Market Account maximize Bike;Credit Card Account;Legacy PCI;Computer tan orange;matrices Vanuatu;Rubber;architectures Unbranded Cotton Cheese Borders;bypassing Awesome;Oklahoma connecting;2020-02-14;Soap maroon;2020-02-14;2020-02-14;2020-02-14;Guyana portals;Sharable Cheese THX;Cambridgeshire application Sleek;85853;17478;Avon invoice;invoice alarm;open-source grow;Manager;quantify;Engineer Global Shoes;efficient;277.063.9469 x1990;Archibald_Osinski@hotmail.com;input tan;Cambridgeshire;Managed;Baby grey;matrix HDD bi-directional;Papua New Guinea navigating;implementation;Oval;digital dot-com Euro;Associate Planner Global;Fiji Dollar Syrian Pound;true
3;Beauty Sleek;Object-based;Republic of Korea;analyzer Cambridgeshire Auto Loan Account;Applications Barbados Dollar;Borders;Program invoice;Dynamic Sudanese Pound Orchard;Incredible;Silver Pants;2020-02-14;silver;2020-02-14;2020-02-14;2020-02-14;Forward Intelligent Cotton Bacon front-end;Tactics;solid state generating;36721;3576;Metal;reboot Fantastic Soft Chips;Jamaica;sexy Chips;Chair;users;Forward;414.240.8920 x797;Unique81@gmail.com;service-desk Director;Garden;Generic Games;Libyan Arab Jamahiriya Awesome deposit;markets radical;Checking Account Director;Cedi SDD Multi-lateral;Plastic Buckinghamshire Salad;Drive Home Loan Account;web-readiness Buckinghamshire Manors;Re-contextualized navigate;false
4;Hill transmit;payment open-source;Chicken target FTP;Cayman Islands;Practical Fresh Ball enable maroon;projection Colorado;Data bandwidth Falls;deposit Towels multi-byte;Tuna;black Global;2020-02-14;wireless;2020-02-13;2020-02-14;2020-02-14;Alabama;Senegal;open-source Handcrafted;87930;61323;Integration monitor redundant;Synchronised;Checking Account Licensed Fresh Chair bricks-and-clicks;ivory Legacy azure;Sleek;Soft;withdrawal;1-573-360-9307 x1528;Jessika70@gmail.com;Corporate Spring Global;primary Checking Account;Minnesota;Vista;Rubber Russian Federation Implementation;Personal Loan Account Personal Loan Account;RAM;Fantastic Granite Pants;invoice Personal Loan Account Cook Islands;Shoes client-server Future;Pants JSON;false
5;withdrawal olive;Tasty Concrete Hat;invoice Movies Tunisia;Fresh visionary;Lead;Global Intelligent;Saint Martin;Dynamic Movies Ireland;24/7 Buckinghamshire connecting;Savings Account Cambridgeshire;2020-02-14;Connecticut Kenyan Shilling iterate;2020-02-14;2020-02-14;2020-02-14;EXE Profound invoice;PNG payment;infrastructures transmitting mint green;7232;59054;Architect;overriding;connect Falkland Islands Pound;parsing Small;24/365;Sudan;invoice;1-145-475-8285 x7012;Bridie_Emmerich22@yahoo.com;program Aruba Infrastructure;Clothing;Iranian Rial;Avon;monitor;Robust e-commerce Incredible;EXE;deposit applications navigating;Brazilian Real;Paraguay Plastic;Strategist;true
6;Refined Iowa navigate;Buckinghamshire Auto Loan Account card;multi-state calculating Ergonomic;Plastic Tasty Fresh Towels;Colombian Peso Unidad de Valor Real;Square auxiliary;Sausages Money Market Account;red;Auto Loan Account;Pizza Technician feed;2020-02-14;connecting;2020-02-14;2020-02-13;2020-02-14;Investment Account Kyrgyz Republic;out-of-the-box;Maryland;12394;4650;Stream wireless Kansas;deposit payment;extend disintermediate Berkshire;Computers;Intelligent Steel Car Sleek Brand;Books knowledge base;monetize bluetooth Optimization;223.620.5537;Gennaro59@yahoo.com;salmon Pike frame;Checking Account hacking supply-chains;e-services wireless;Kyat e-business Rustic;Auto Loan Account;Awesome Cotton Sausages complexity;transmitting Quality-focused indigo;Soft hack Licensed Wooden Fish;virtual Incredible Cotton Keyboard Cambridgeshire;Circles sky blue TCP;Books Wyoming digital;false
7;Tasty;Incredible Granite Hat Wooden index;Bedfordshire indexing;parse North Carolina;olive Refined Wyoming;Falls Bedfordshire;National;Home Loan Account;hard drive;Intelligent Cotton Bike;2020-02-14;Dynamic Grocery compressing;2020-02-14;2020-02-14;2020-02-14;SMTP directional Illinois;Liberian Dollar Cambridgeshire Salad;Democratic People's Republic of Korea;57547;81318;Berkshire;architecture Rhode Island;bypass Home Loan Account;Fiji Dollar Cambridgeshire THX;Handcrafted Steel Soap;lime web services sky blue;web-enabled SSL Oregon;(405) 722-2549 x42299;Rosemary80@yahoo.com;British Indian Ocean Territory (Chagos Archipelago);Internal Dalasi;Dynamic Infrastructure Soap;azure;Unbranded Table;synthesize Hat Coordinator;Bahamas Arkansas Licensed;tan Orchestrator;interfaces;Savings Account;Group SSL parse;true
8;Rubber flexibility bypass;Auto Loan Account hack Quality-focused;database;Avon Future;Yemen hard drive hard drive;hierarchy envisioneer firewall;deposit transform;Granite primary;Organic COM calculating;benchmark calculating;2020-02-13;Pizza;2020-02-14;2020-02-14;2020-02-14;circuit;Club;CSS Concrete;22647;20764;Electronics Florida;Assistant Pine partnerships;paradigm;Money Market Account;Money Market Account Cotton;Incredible Concrete Table Outdoors bandwidth;iterate Metal Fish;1-610-310-9457;Loren_Baumbach38@hotmail.com;demand-driven Avon;implement;Checking Account Metical;schemas revolutionary Ferry;web-enabled extend extensible;International;Cambridgeshire;Granite Bolivia Alaska;Quality;asymmetric;Investor Auto Loan Account;true
9;synthesizing North Korean Won;Senior;American Samoa Cambridgeshire;digital Fresh Saint Helena;Credit Card Account vortals mobile;back up;grow;Corporate Somalia Automotive;Steel;Developer Interactions invoice;2020-02-14;gold;2020-02-14;2020-02-13;2020-02-13;Pass;Orchestrator Avon 24/7;1080p e-business Tasty;61177;92786;Bedfordshire Salad composite;Solutions Terrace virtual;deposit;Shoal HDD;Global copy;driver;Agent;1-405-395-2546;Andreane_Russel@gmail.com;leading edge;maroon Industrial supply-chains;circuit Intelligent;calculate National indexing;bypassing Avon;Refined Personal Loan Account tangible;matrix;Ecuador;payment;Djibouti Franc Representative Terrace;Tasty Concrete Table;true
10;withdrawal definition Ball;virtual Alaska;Wooden Soft;California auxiliary;Switchable;generate Clothing;open-source Ports;black quantifying Gorgeous;Bedfordshire;haptic;2020-02-14;e-tailers;2020-02-13;2020-02-14;2020-02-13;AI bleeding-edge;Progressive Wyoming;platforms quantifying;54663;56106;e-enable;EXE Small Concrete Sausages Industrial;Place reinvent;Avon calculate lavender;feed connect;Human cutting-edge;Central deposit bandwidth-monitored;579-719-7392;Kianna_Lockman@gmail.com;microchip infomediaries;lime;synergize hierarchy Awesome Wooden Cheese;connecting;dynamic;Home Loan Account synthesize;Refined Steel Car;primary;invoice lavender;Rapids Licensed Hat;Berkshire;true
